RIL.SET,Plate.ID,Genotype,GermTrt,Rep,Dormancy,Total.Seeds,Germs.4wks
Italy x Swe,ISL590_O1,ISL_590,Optimal,1,D,20,1
Italy x Swe,ISL609_O1,ISL_609,Optimal,1,D,20,0
Italy x Swe,ISL663_O1,ISL_663,Optimal,1,D,20,0
Italy x Swe,ISL666_O1,ISL_666,Optimal,1,D,20,3
Italy x Swe,IS340X_O1,IS-340_CROSS,Optimal,1,D,20,0
Italy x Swe,ISL85_O1,ISL_85,Optimal,1,D,21,1
Italy x Swe,ISL90_O1,ISL_90,Optimal,1,D,20,1
Italy x Swe,ISL195_O1,ISL_195,Optimal,1,D,20,1
Italy x Swe,ISL395_O1,ISL_395,Optimal,1,D,20,1
Italy x Swe,ISL499_O1,ISL_499,Optimal,1,D,20,1
Italy x Swe,ISL506_O1,ISL_506,Optimal,1,D,20,2
Italy x Swe,ISL519_O1,ISL_519,Optimal,1,D,20,1
Italy x Swe,ISL614_O1,ISL_614,Optimal,1,D,20,6
Italy x Swe,ISL680_O1,ISL_680,Optimal,1,D,20,1
Italy x Swe,IS286X_O1,IS-286_CROSS,Optimal,1,D,20,3
Italy x Swe,ISL423_O1,ISL_423,Optimal,1,D,20,2
Italy x Swe,ISL431_O1,ISL_431,Optimal,1,D,20,2
Italy x Swe,ISL656_O1,ISL_656,Optimal,1,D,20,3
Italy x Swe,ISL29_O1,ISL_29,Optimal,1,ND,20,9
Italy x Swe,ISL140_O1,ISL_140,Optimal,1,ND,20,0
Italy x Swe,ISL242_O1,ISL_242,Optimal,1,ND,20,1
Italy x Swe,ISL295_O1,ISL_295,Optimal,1,ND,20,0
Italy x Swe,ISL171_O1,ISL_171,Optimal,1,ND,23,8
Italy x Swe,ISL106_O1,ISL_106,Optimal,1,ND,20,2
Italy x Swe,ISL189_O1,ISL_189,Optimal,1,ND,20,8
Italy x Swe,ISL198_O1,ISL_198,Optimal,1,ND,20,18
Italy x Swe,ISL486_O1,ISL_486,Optimal,1,ND,20,5
Italy x Swe,ISL683_O1,ISL_683,Optimal,1,ND,20,15
Italy x Swe,ISL440_O1,ISL_440,Optimal,1,ND,20,6
Italy x Swe,ISL212_O1,ISL_212,Optimal,1,ND,21,13
Italy x Swe,ISL353_O1,ISL_353,Optimal,1,ND,20,10
Italy x Swe,ISL594_O1,ISL_594,Optimal,1,ND,20,11
Italy x Swe,IS136X_O1,IS-136_CROSS,Optimal,1,ND,20,8
Italy x Swe,ISL41_O1,ISL_41,Optimal,1,ND,20,11
Italy x Swe,ISL219_O1,ISL_219,Optimal,1,ND,20,6
Italy x Swe,ISL241_O1,ISL_241,Optimal,1,ND,20,15
Italy x Swe,ISL331_O1,ISL_331,Optimal,1,ND,20,10
Italy x Swe,ISL232_O1,ISL_232,Optimal,1,ND,20,16
Italy x Swe,ISL649_O1,ISL_649,Optimal,1,ND,20,20
Italy x Swe,ISL305_O1,ISL_305,Optimal,1,ND,20,16
Italy x Swe,ISL508_O1,ISL_508,Optimal,1,ND,20,18
Italy x Swe,ISL51_O1,ISL_51,Optimal,1,ND,20,20
Italy x Swe,ISL494_O1,ISL_494,Optimal,1,ND,20,10
Italy x Swe,ISL672_O1,ISL_672,Optimal,1,ND,20,15
Italy x Swe,ISL78_O1,ISL_78,Optimal,1,ND,20,13
Italy x Swe,ISL231_O1,ISL_231,Optimal,1,ND,20,14
Italy x Swe,ISL414_O1,ISL_414,Optimal,1,ND,20,11
