PopId,Block,RILSet,Dormancy,Envt,sumY1Total,Y1Germ,sumY1Rep,Y1Rep,sumy2Total,y2Germ,sumy2Rep,y2Rep,sumy3Total,y3Germ,Y1Persistence,Y2Persistence,Y3Resurrection
I_7,5,Italy x Sweden,Non-Dormant,High Humidity,4,Established,0,Disappeared,135,Established,0,Disappeared,2,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
I_8,5,Germany x Tajikistan,Non-Dormant,Straw Litter,9,Established,0,Disappeared,41,Established,0,Disappeared,NA,NA,Established then Disappeared,Reappeared then Disappeared,NA
I_9,5,Italy x Sweden,Mixed,High Humidity,36,Established,0,Disappeared,410,Established,0,Disappeared,10,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
I_10,5,Italy x Sweden,Mixed,Straw Litter,15,Established,0,Disappeared,117,Established,0,Disappeared,33,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
I_11,6,Italy x Sweden,Non-Dormant,Straw Litter,0,Never Established,0,Disappeared,57,Established,0,Disappeared,3,Established,Never Established,Newly Established then Disappeared,Reappeared
I_12,6,Italy x Sweden,Non-Dormant,High Humidity,23,Established,0,Disappeared,39,Established,0,Disappeared,3,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
J_2,4,Italy x Sweden,Dormant,Native Soil,224,Established,112,Persisted,230,Established,3,Persisted,526,Established,Established and Persisted,Persisted,Persisted
J_3,4,UK x USA,Mixed,Control,15,Established,2,Persisted,1,Established,0,Disappeared,47,Established,Established and Persisted,Persisted then Disappeared,Reappeared
J_4,4,Italy x Sweden,Mixed,Native Soil,138,Established,84,Persisted,246,Established,0,Disappeared,661,Established,Established and Persisted,Persisted then Disappeared,Reappeared
J_5,5,Italy x Sweden,Dormant,Native Soil,240,Established,104,Persisted,268,Established,0,Disappeared,1848,Established,Established and Persisted,Persisted then Disappeared,Reappeared
J_6,5,Italy x Sweden,Non-Dormant,Native Soil,43,Established,19,Persisted,33,Established,0,Disappeared,40,Established,Established and Persisted,Persisted then Disappeared,Reappeared
J_7,5,Italy x Sweden,Dormant,High Humidity,37,Established,17,Persisted,34,Established,1,Persisted,349,Established,Established and Persisted,Persisted,Persisted
J_8,5,Germany x Tajikistan,Mixed,Control,4,Established,2,Persisted,48,Established,0,Disappeared,0,Never Established,Established and Persisted,Persisted then Disappeared,Disappeared
J_9,5,Italy x Sweden,Mixed,Native Soil,208,Established,93,Persisted,346,Established,6,Persisted,1864,Established,Established and Persisted,Persisted,Persisted
J_10,5,UK x USA,Non-Dormant,Control,0,Never Established,0,Disappeared,100,Established,0,Disappeared,6,Established,Never Established,Newly Established then Disappeared,Reappeared
J_11,8,Italy x Sweden,Dormant,High Humidity,11,Established,0,Disappeared,8,Established,0,Disappeared,198,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
J_12,8,Italy x Sweden,Non-Dormant,Control,5,Established,0,Disappeared,100,Established,0,Disappeared,2,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
K_1,7,Italy x Sweden,Non-Dormant,Straw Litter,2,Established,2,Persisted,38,Established,0,Disappeared,186,Established,Established and Persisted,Persisted then Disappeared,Reappeared
K_2,7,UK x USA,Dormant,Control,4,Established,0,Disappeared,310,Established,0,Disappeared,44,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
K_3,7,UK x USA,Mixed,Control,1,Established,0,Disappeared,309,Established,0,Disappeared,5,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
K_4,7,Italy x Sweden,Dormant,Control,8,Established,4,Persisted,1088,Established,43,Persisted,434,Established,Established and Persisted,Persisted,Persisted
K_5,7,Italy x Sweden,Non-Dormant,High Humidity,23,Established,0,Disappeared,26,Established,0,Disappeared,3,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
K_6,7,Italy x Sweden,Mixed,Straw Litter,0,Never Established,0,Disappeared,25,Established,0,Disappeared,5,Established,Never Established,Newly Established then Disappeared,Reappeared
K_7,7,Germany x Tajikistan,Mixed,Control,7,Established,0,Disappeared,214,Established,0,Disappeared,1,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
K_8,8,Italy x Sweden,Non-Dormant,High Humidity,2,Established,0,Disappeared,28,Established,0,Disappeared,6,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
K_9,8,Germany x Tajikistan,Dormant,Straw Litter,12,Established,1,Persisted,28,Established,0,Disappeared,NA,NA,Established and Persisted,Persisted then Disappeared,NA
K_10,8,Italy x Sweden,Non-Dormant,Straw Litter,7,Established,0,Disappeared,115,Established,0,Disappeared,11,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
K_11,8,Italy x Sweden,Mixed,High Humidity,40,Established,0,Disappeared,32,Established,0,Disappeared,3,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
K_12,8,Italy x Sweden,Dormant,Straw Litter,1,Established,0,Disappeared,65,Established,0,Disappeared,23,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
K_13,8,Germany x Tajikistan,Mixed,Control,6,Established,2,Persisted,77,Established,0,Disappeared,0,Never Established,Established and Persisted,Persisted then Disappeared,Disappeared
L_1,7,Italy x Sweden,Dormant,High Humidity,7,Established,0,Disappeared,685,Established,0,Disappeared,13,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
L_2,7,Italy x Sweden,Dormant,Straw Litter,4,Established,0,Disappeared,118,Established,0,Disappeared,22,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
L_3,7,Italy x Sweden,Dormant,Native Soil,119,Established,84,Persisted,53,Established,0,Disappeared,366,Established,Established and Persisted,Persisted then Disappeared,Reappeared
L_4,7,UK x USA,Non-Dormant,Control,1,Established,0,Disappeared,22,Established,0,Disappeared,1,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
L_5,7,Germany x Tajikistan,Dormant,Straw Litter,144,Established,46,Persisted,107,Established,0,Disappeared,NA,NA,Established and Persisted,Persisted then Disappeared,NA
L_6,7,Italy x Sweden,Mixed,High Humidity,67,Established,22,Persisted,148,Established,8,Persisted,1516,Established,Established and Persisted,Persisted,Persisted
L_7,7,Italy x Sweden,Mixed,Native Soil,125,Established,67,Persisted,437,Established,43,Persisted,302,Established,Established and Persisted,Persisted,Persisted
L_8,8,Germany x Tajikistan,Non-Dormant,Control,1,Established,0,Disappeared,41,Established,0,Disappeared,2,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
L_9,8,UK x USA,Non-Dormant,Control,1,Established,0,Disappeared,127,Established,0,Disappeared,5,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
L_10,8,Italy x Sweden,Dormant,Native Soil,148,Established,101,Persisted,68,Established,2,Persisted,59,Established,Established and Persisted,Persisted,Persisted
L_11,8,Italy x Sweden,Dormant,Control,21,Established,9,Persisted,220,Established,16,Persisted,1583,Established,Established and Persisted,Persisted,Persisted
